username,status,reason,source,country,followers,avg_views_10,engagement_rate,shop_signals,shop_valid,shop_proof,shop_proof_method,email,email_source,email_verified,bio_url,bio,profile_url,source_url,fastmoss_units_sold,fastmoss_gmv,fastmoss_seller_id
jsrcocheses,,,tikhub_search,,,,,,,,,,,,,,,,,,
mz_addis,,,tikhub_search,,,,,,,,,,,,,,,,,,
golaxdj,,,tikhub_search,,,,,,,,,,,,,,,,,,
tiktokshop_esp1,,,tikhub_search,,,,,,,,,,,,,,,,,,
srhuete,,,tikhub_search,,,,,,,,,,,,,,,,,,
juditpiqui,,,tikhub_search,,,,,,,,,,,,,,,,,,
_ugcbyamanda_,,,tikhub_search,,,,,,,,,,,,,,,,,,
ugcnaiara,,,tikhub_search,,,,,,,,,,,,,,,,,,
annasvugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
manuuu.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
itsugclydia,,,tikhub_search,,,,,,,,,,,,,,,,,,
margo_avonavi,,,tikhub_search,,,,,,,,,,,,,,,,,,
sammylopez17_,,,tikhub_search,,,,,,,,,,,,,,,,,,
leireugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
martubajko8,,,tikhub_search,,,,,,,,,,,,,,,,,,
carmenmorros.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
monetiza.academy,,,tikhub_search,,,,,,,,,,,,,,,,,,
lisaaaa_mariaaa,,,tikhub_search,,,,,,,,,,,,,,,,,,
niazuluagaa,,,tikhub_search,,,,,,,,,,,,,,,,,,
ludistante,,,tikhub_search,,,,,,,,,,,,,,,,,,
adricanyas.ugcspain,,,tikhub_search,,,,,,,,,,,,,,,,,,
andreacedugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
andreaoliva.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
evelynevt.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
azaharagagoo,,,tikhub_search,,,,,,,,,,,,,,,,,,
laia.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
sharonq.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
anahdz.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
estefiugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
evafp.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
arantxadomi,,,tikhub_search,,,,,,,,,,,,,,,,,,
soyraka_,,,tikhub_search,,,,,,,,,,,,,,,,,,
laurafloresugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
koa_grey,,,tikhub_search,,,,,,,,,,,,,,,,,,
sararugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
itsmarianarr,,,tikhub_search,,,,,,,,,,,,,,,,,,
mimiugc_,,,tikhub_search,,,,,,,,,,,,,,,,,,
paulavilardellc,,,tikhub_search,,,,,,,,,,,,,,,,,,
mar.corrtes,,,tikhub_search,,,,,,,,,,,,,,,,,,
socialsbymarta,,,tikhub_search,,,,,,,,,,,,,,,,,,
narazas,,,tikhub_search,,,,,,,,,,,,,,,,,,
itscrisribas,,,tikhub_search,,,,,,,,,,,,,,,,,,
mariavalero.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
ariadnaugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
analorenteugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
icris.es,,,tikhub_search,,,,,,,,,,,,,,,,,,
bea_onroad,,,tikhub_search,,,,,,,,,,,,,,,,,,
emily__blondie,,,tikhub_search,,,,,,,,,,,,,,,,,,
stephaniaugc_,,,tikhub_search,,,,,,,,,,,,,,,,,,
povcamilam,,,tikhub_search,,,,,,,,,,,,,,,,,,
alonaagency,,,tikhub_search,,,,,,,,,,,,,,,,,,
paulaalguerougc,,,tikhub_search,,,,,,,,,,,,,,,,,,
elizavetaugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
miriamvargxs,,,tikhub_search,,,,,,,,,,,,,,,,,,
kokocosmetics_es,,,tikhub_search,,,,,,,,,,,,,,,,,,
carlalarenas.creadoraugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
ecowoman_es,,,tikhub_search,,,,,,,,,,,,,,,,,,
cynthiaducos_,,,tikhub_search,,,,,,,,,,,,,,,,,,
pauladnz,,,tikhub_search,,,,,,,,,,,,,,,,,,
loga.mode,,,tikhub_search,,,,,,,,,,,,,,,,,,
itsmaryjaneemkp,,,tikhub_search,,,,,,,,,,,,,,,,,,
nicknameproject,,,tikhub_search,,,,,,,,,,,,,,,,,,
genesisugcreator,,,tikhub_search,,,,,,,,,,,,,,,,,,
alexandraquinteronc,,,tikhub_search,,,,,,,,,,,,,,,,,,
aleja.creator,,,tikhub_search,,,,,,,,,,,,,,,,,,
lourdesteruel.ugc,,,tikhub_search,,,,,,,,,,,,,,,,,,
dorianaa.lu,,,tikhub_search,,,,,,,,,,,,,,,,,,
claulougc,,,tikhub_search,,,,,,,,,,,,,,,,,,
iamlaflores,,,tikhub_search,,,,,,,,,,,,,,,,,,
_crisvelvet,,,tikhub_search,,,,,,,,,,,,,,,,,,
